,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistName,collectionHdPrice,trackHdPrice,contentAdvisoryRating,shortDescription,longDescription,collectionArtistId,collectionArtistViewUrl,trackRentalPrice,trackHdRentalPrice,copyright,description,feedUrl,artworkUrl600,genreIds,genres
0,track,song,3296287.0,1434899831.0,1434900084.0,Queen,Bohemian Rhapsody (The Original Soundtrack),The Show Must Go On,Bohemian Rhapsody (The Original Soundtrack),The Show Must Go On (2011 Remaster),https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on-2011-remaster/1434899831?i=1434900084&uo=4,https://music.apple.com/us/album/the-show-must-go-on-2011-remaster/1434899831?i=1434900084&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/50/64/e3/5064e3a0-b7e1-8ba6-bb3d-0e35dde4fa02/mzaf_5879892688967720440.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ef/54/0b/ef540ba4-bbe7-0809-aa55-97ce32e0e13d/18UMGIM55763.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ef/54/0b/ef540ba4-bbe7-0809-aa55-97ce32e0e13d/18UMGIM55763.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ef/54/0b/ef540ba4-bbe7-0809-aa55-97ce32e0e13d/18UMGIM55763.rgb.jpg/100x100bb.jpg,11.99,1.29,1991-02-04T12:00:00Z,notExplicit,notExplicit,1.0,1.0,21.0,22.0,271610.0,USA,USD,Rock,True,,,,,,,,,,,,,,,,
1,track,song,3296287.0,1440650428.0,1440651688.0,Queen,"Greatest Hits I, II & III: The Platinum Collection",The Show Must Go On,"Greatest Hits I, II & III: The Platinum Collection",The Show Must Go On (Early Fade-Out),https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on-early-fade-out/1440650428?i=1440651688&uo=4,https://music.apple.com/us/album/the-show-must-go-on-early-fade-out/1440650428?i=1440651688&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/d0/2c/5c/d02c5c82-8f4b-4ca8-fad7-484c3f360c45/mzaf_14632842894364172169.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/4d/08/2a/4d082a9e-7898-1aa1-a02f-339810058d9e/14DMGIM05632.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/4d/08/2a/4d082a9e-7898-1aa1-a02f-339810058d9e/14DMGIM05632.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/4d/08/2a/4d082a9e-7898-1aa1-a02f-339810058d9e/14DMGIM05632.rgb.jpg/100x100bb.jpg,24.99,1.29,1991-02-04T12:00:00Z,notExplicit,notExplicit,3.0,2.0,17.0,16.0,263621.0,USA,USD,Rock,True,,,,,,,,,,,,,,,,
2,track,song,3296287.0,1440650428.0,1440651698.0,Queen & Elton John,"Greatest Hits I, II & III: The Platinum Collection",The Show Must Go On,"Greatest Hits I, II & III: The Platinum Collection","The Show Must Go On (Live from Theatre National de Chaillot, Paris 1997)",https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on-live-from-theatre-national/1440650428?i=1440651698&uo=4,https://music.apple.com/us/album/the-show-must-go-on-live-from-theatre-national/1440650428?i=1440651698&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/26/95/56/26955622-fcd2-dd98-11ed-56d662aa2b25/mzaf_13481717030554347781.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/4d/08/2a/4d082a9e-7898-1aa1-a02f-339810058d9e/14DMGIM05632.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/4d/08/2a/4d082a9e-7898-1aa1-a02f-339810058d9e/14DMGIM05632.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/4d/08/2a/4d082a9e-7898-1aa1-a02f-339810058d9e/14DMGIM05632.rgb.jpg/100x100bb.jpg,24.99,1.29,1999-11-08T12:00:00Z,notExplicit,notExplicit,3.0,3.0,17.0,1.0,275392.0,USA,USD,Rock,True,Queen,,,,,,,,,,,,,,,
3,track,song,3296287.0,1528212071.0,1528212447.0,Queen & Adam Lambert,Live Around the World (Deluxe),The Show Must Go On,Live Around the World,"The Show Must Go On (Live at The O2, London, UK, 04/07/2018)",https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on-live-at-the-o2-london-uk-04-07-2018/1528212071?i=1528212447&uo=4,https://music.apple.com/us/album/the-show-must-go-on-live-at-the-o2-london-uk-04-07-2018/1528212071?i=1528212447&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/8a/85/96/8a859659-9af1-9867-7072-6203c8f4d2f0/mzaf_12709753696587782371.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/89/9a/ad/899aad1a-c520-ac9f-178a-c66ea350c046/20UMGIM70174.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/89/9a/ad/899aad1a-c520-ac9f-178a-c66ea350c046/20UMGIM70174.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/89/9a/ad/899aad1a-c520-ac9f-178a-c66ea350c046/20UMGIM70174.rgb.jpg/100x100bb.jpg,9.99,1.29,2020-08-29T12:00:00Z,notExplicit,notExplicit,1.0,1.0,20.0,12.0,257788.0,USA,USD,Rock,True,,,,,,,,,,,,,,,,
4,track,song,464982826.0,475769666.0,475769878.0,The Bohemian Champions,Queen Greatest Hits,The Show Must Go On,Queen Greatest Hits,The Show Must Go On,https://music.apple.com/us/artist/the-bohemian-champions/464982826?uo=4,https://music.apple.com/us/album/the-show-must-go-on/475769666?i=475769878&uo=4,https://music.apple.com/us/album/the-show-must-go-on/475769666?i=475769878&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/41/01/b1/4101b171-f918-8bf8-97ec-c6826ac334c1/mzaf_1686429028653182967.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/ca/f1/0e/mzi.iizmtrvd.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/ca/f1/0e/mzi.iizmtrvd.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/ca/f1/0e/mzi.iizmtrvd.jpg/100x100bb.jpg,9.99,0.99,2011-03-31T12:00:00Z,notExplicit,notExplicit,1.0,1.0,17.0,7.0,122040.0,USA,USD,Pop,True,,,,,,,,,,,,,,,,
5,track,song,487143.0,1065975633.0,1065976171.0,Pink Floyd,The Wall,The Show Must Go On,The Wall,The Show Must Go On,https://music.apple.com/us/artist/pink-floyd/487143?uo=4,https://music.apple.com/us/album/the-show-must-go-on/1065975633?i=1065976171&uo=4,https://music.apple.com/us/album/the-show-must-go-on/1065975633?i=1065976171&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/57/4a/f8/574af864-88a4-16d4-c64e-d9857adc8b9a/mzaf_12375970921451753152.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/3c/b4/e3/3cb4e3d0-cd77-8f18-7465-d60e6949b435/886445635850.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/3c/b4/e3/3cb4e3d0-cd77-8f18-7465-d60e6949b435/886445635850.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/3c/b4/e3/3cb4e3d0-cd77-8f18-7465-d60e6949b435/886445635850.jpg/100x100bb.jpg,19.99,1.29,1979-11-30T08:00:00Z,notExplicit,notExplicit,2.0,2.0,13.0,7.0,96333.0,USA,USD,Rock,True,,,,,,,,,,,,,,,,
6,track,song,96820.0,1440777137.0,1440778004.0,Three Dog Night,20th Century Masters - The Millennium Collection: The Best of Three Dog Night,The Show Must Go On,20th Century Masters - The Millennium Collection: The Best of Three Dog Night,The Show Must Go On (Single Version),https://music.apple.com/us/artist/three-dog-night/96820?uo=4,https://music.apple.com/us/album/the-show-must-go-on-single-version/1440777137?i=1440778004&uo=4,https://music.apple.com/us/album/the-show-must-go-on-single-version/1440777137?i=1440778004&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/37/52/f8/3752f8fa-a543-c477-4686-9c83b971b7bc/mzaf_5488438071384748164.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/5a/e8/e6/5ae8e63b-7660-d721-35a0-a6da62dc82e6/00008811207328.rgb.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/5a/e8/e6/5ae8e63b-7660-d721-35a0-a6da62dc82e6/00008811207328.rgb.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/5a/e8/e6/5ae8e63b-7660-d721-35a0-a6da62dc82e6/00008811207328.rgb.jpg/100x100bb.jpg,6.99,1.29,2000-01-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,12.0,12.0,225107.0,USA,USD,Rock,True,,,,,,,,,,,,,,,,
7,track,song,98966717.0,203480801.0,203481130.0,The Magic Orchestra,Instrumental Highlights - Saxophon & More,The Show Must Go On,Instrumental Highlights - Saxophon & More,The Show Must Go On (Queen),https://music.apple.com/us/artist/the-magic-orchestra/98966717?uo=4,https://music.apple.com/us/album/the-show-must-go-on-queen/203480801?i=203481130&uo=4,https://music.apple.com/us/album/the-show-must-go-on-queen/203480801?i=203481130&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/26/b0/2b/mzm.indrhgfq.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music/eb/b6/dc/mzi.dvioennt.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music/eb/b6/dc/mzi.dvioennt.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music/eb/b6/dc/mzi.dvioennt.jpg/100x100bb.jpg,10.99,0.99,2006-10-04T12:00:00Z,notExplicit,notExplicit,1.0,1.0,16.0,15.0,247627.0,USA,USD,Pop,False,,,,,,,,,,,,,,,,
8,track,song,189245013.0,526754869.0,526754883.0,The Protomen,Present: A Night of Queen,The Show Must Go On,Present: A Night of Queen,The Show Must Go On,https://music.apple.com/us/artist/the-protomen/189245013?uo=4,https://music.apple.com/us/album/the-show-must-go-on/526754869?i=526754883&uo=4,https://music.apple.com/us/album/the-show-must-go-on/526754869?i=526754883&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/61/65/18/61651806-b4da-e1f3-cbe3-fd26978ba19e/mzaf_16174874683570819661.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/d2/e7/70/d2e77044-b96f-7fba-f9d9-85714c173721/609207154617_cover.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/d2/e7/70/d2e77044-b96f-7fba-f9d9-85714c173721/609207154617_cover.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/d2/e7/70/d2e77044-b96f-7fba-f9d9-85714c173721/609207154617_cover.jpg/100x100bb.jpg,9.99,0.99,2012-06-05T12:00:00Z,notExplicit,notExplicit,1.0,1.0,18.0,14.0,370547.0,USA,USD,Rock,True,,,,,,,,,,,,,,,,
9,track,song,406810380.0,406810376.0,406810414.0,tribute to Freddy Mercury,Queen of Mercury (Freddy Is Back),The Show Must Go On,Queen of Mercury (Freddy Is Back),The Show Must Go On (extended),https://music.apple.com/us/artist/tribute-to-freddy-mercury/406810380?uo=4,https://music.apple.com/us/album/the-show-must-go-on-extended/406810376?i=406810414&uo=4,https://music.apple.com/us/album/the-show-must-go-on-extended/406810376?i=406810414&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/67/80/16/6780168a-185b-c18f-239d-55b504a1d0a2/mzaf_4059119330424871336.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/72/00/01/7200015c-2565-1686-ff31-66a61a8bc225/mzi.waeflcrd.jpg/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/72/00/01/7200015c-2565-1686-ff31-66a61a8bc225/mzi.waeflcrd.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/72/00/01/7200015c-2565-1686-ff31-66a61a8bc225/mzi.waeflcrd.jpg/100x100bb.jpg,9.9,0.99,2010-11-14T12:00:00Z,notExplicit,notExplicit,1.0,1.0,10.0,8.0,333000.0,USA,USD,Dance,True,,,,,,,,,,,,,,,,
