,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistName,collectionArtistId,collectionHdPrice,trackHdPrice,contentAdvisoryRating,shortDescription,longDescription,collectionArtistViewUrl,feedUrl,trackRentalPrice,trackHdRentalPrice,artworkUrl600,genreIds,genres
0,track,song,3296287.0,1440650428,1440651688,Queen,"The Platinum Collection (Greatest Hits I, II & III)",The Show Must Go On,"The Platinum Collection (Greatest Hits I, II & III)",The Show Must Go On (Early Fade-Out),https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on-early-fade-out/1440650428?i=1440651688&uo=4,https://music.apple.com/us/album/the-show-must-go-on-early-fade-out/1440650428?i=1440651688&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ab/b5/be/abb5be91-1444-3e3b-87a8-d764d031c598/mzaf_1091716959273445212.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/83/23/e4/8323e48b-3467-448b-1ce0-8981d8a97437/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/83/23/e4/8323e48b-3467-448b-1ce0-8981d8a97437/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/83/23/e4/8323e48b-3467-448b-1ce0-8981d8a97437/source/100x100bb.jpg,24.99,1.29,1991-02-04T12:00:00Z,notExplicit,notExplicit,3.0,2.0,17,16.0,263621.0,USA,USD,Rock,True,,,,,,,,,,,,,,
1,track,song,3296287.0,1440650428,1440651698,Queen & Elton John,"The Platinum Collection (Greatest Hits I, II & III)",The Show Must Go On,"The Platinum Collection (Greatest Hits I, II & III)","The Show Must Go On (Live from Theatre National de Chaillot, Paris 1997)",https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on-live-from-theatre-national/1440650428?i=1440651698&uo=4,https://music.apple.com/us/album/the-show-must-go-on-live-from-theatre-national/1440650428?i=1440651698&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ee/37/ff/ee37ff66-11cd-c1d1-5488-55e60ccb138e/mzaf_10429445601710693176.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/83/23/e4/8323e48b-3467-448b-1ce0-8981d8a97437/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/83/23/e4/8323e48b-3467-448b-1ce0-8981d8a97437/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/83/23/e4/8323e48b-3467-448b-1ce0-8981d8a97437/source/100x100bb.jpg,24.99,1.29,1999-11-08T12:00:00Z,notExplicit,notExplicit,3.0,3.0,17,1.0,275392.0,USA,USD,Rock,True,Queen,,,,,,,,,,,,,
2,track,song,3296287.0,1434899831,1434900084,Queen,Bohemian Rhapsody (The Original Soundtrack),The Show Must Go On,Bohemian Rhapsody (The Original Soundtrack),The Show Must Go On (2011 Remaster),https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on-2011-remaster/1434899831?i=1434900084&uo=4,https://music.apple.com/us/album/the-show-must-go-on-2011-remaster/1434899831?i=1434900084&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/00/4d/b3/004db351-da7a-e2bf-cda9-958ac1bc9ddf/mzaf_10856540773259746286.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/54/40/33/544033ca-64e3-a185-1b57-db5a6634d3a3/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/54/40/33/544033ca-64e3-a185-1b57-db5a6634d3a3/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/54/40/33/544033ca-64e3-a185-1b57-db5a6634d3a3/source/100x100bb.jpg,11.99,1.29,1991-02-04T12:00:00Z,notExplicit,notExplicit,1.0,1.0,21,22.0,271610.0,USA,USD,Rock,True,,,,,,,,,,,,,,
3,track,song,3296287.0,1528212071,1528212447,Queen & Adam Lambert,Live Around the World (Deluxe),The Show Must Go On,Live Around the World,"The Show Must Go On (Live at The O2, London, UK, 04/07/2018)",https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on-live-at-the-o2-london-uk-04-07-2018/1528212071?i=1528212447&uo=4,https://music.apple.com/us/album/the-show-must-go-on-live-at-the-o2-london-uk-04-07-2018/1528212071?i=1528212447&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/bb/60/a2/bb60a2b7-c6b6-343a-c587-b50af535a1b0/mzaf_5268868823148037192.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/79/35/1d/79351dcf-1a04-9edc-b0ca-f335d10d496a/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/79/35/1d/79351dcf-1a04-9edc-b0ca-f335d10d496a/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/79/35/1d/79351dcf-1a04-9edc-b0ca-f335d10d496a/source/100x100bb.jpg,9.99,1.29,2020-08-29T12:00:00Z,notExplicit,notExplicit,1.0,1.0,20,12.0,257788.0,USA,USD,Rock,True,,,,,,,,,,,,,,
4,track,song,487143.0,1065975633,1065976171,Pink Floyd,The Wall,The Show Must Go On,The Wall,The Show Must Go On,https://music.apple.com/us/artist/pink-floyd/487143?uo=4,https://music.apple.com/us/album/the-show-must-go-on/1065975633?i=1065976171&uo=4,https://music.apple.com/us/album/the-show-must-go-on/1065975633?i=1065976171&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/57/4a/f8/574af864-88a4-16d4-c64e-d9857adc8b9a/mzaf_12375970921451753152.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/89/d9/02/89d90299-4e04-f5e4-0eab-b09d0352fa31/source/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/89/d9/02/89d90299-4e04-f5e4-0eab-b09d0352fa31/source/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/89/d9/02/89d90299-4e04-f5e4-0eab-b09d0352fa31/source/100x100bb.jpg,19.99,1.29,1979-11-30T08:00:00Z,notExplicit,notExplicit,2.0,2.0,13,7.0,96333.0,USA,USD,Rock,True,,,,,,,,,,,,,,
5,track,song,96820.0,1440777137,1440778004,Three Dog Night,20th Century Masters - The Millennium Collection: The Best of Three Dog Night,The Show Must Go On,20th Century Masters - The Millennium Collection: The Best of Three Dog Night,The Show Must Go On (Single Version),https://music.apple.com/us/artist/three-dog-night/96820?uo=4,https://music.apple.com/us/album/the-show-must-go-on-single-version/1440777137?i=1440778004&uo=4,https://music.apple.com/us/album/the-show-must-go-on-single-version/1440777137?i=1440778004&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/37/52/f8/3752f8fa-a543-c477-4686-9c83b971b7bc/mzaf_5488438071384748164.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/35/50/b1/3550b11e-dc58-d079-58c2-6c4724d240c7/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/35/50/b1/3550b11e-dc58-d079-58c2-6c4724d240c7/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/35/50/b1/3550b11e-dc58-d079-58c2-6c4724d240c7/source/100x100bb.jpg,6.99,1.29,2000-01-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,12,12.0,225107.0,USA,USD,Rock,True,,,,,,,,,,,,,,
6,track,song,3296287.0,1440806201,1440806229,Queen,Innuendo,The Show Must Go On,Innuendo,The Show Must Go On,https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on/1440806201?i=1440806229&uo=4,https://music.apple.com/us/album/the-show-must-go-on/1440806201?i=1440806229&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d4/ac/62/d4ac628e-f13e-35c7-574d-5a8df70c4a3a/mzaf_532565571497583614.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/f7/bd/39/f7bd3970-701a-ca20-9a63-87ec6314c76d/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/f7/bd/39/f7bd3970-701a-ca20-9a63-87ec6314c76d/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/f7/bd/39/f7bd3970-701a-ca20-9a63-87ec6314c76d/source/100x100bb.jpg,9.99,1.29,1991-02-04T12:00:00Z,notExplicit,notExplicit,1.0,1.0,12,12.0,275647.0,USA,USD,Rock,True,,,,,,,,,,,,,,
7,track,song,3296287.0,1440626676,1440626678,Queen,Greatest Hits III,The Show Must Go On (feat. Elton John),Greatest Hits III,"The Show Must Go On (feat. Elton John) [Live Theatre National de Chaillot, Paris 1997]",https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on-feat-elton-john-live-theatre/1440626676?i=1440626678&uo=4,https://music.apple.com/us/album/the-show-must-go-on-feat-elton-john-live-theatre/1440626676?i=1440626678&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d5/be/dd/d5bedd34-c87a-2df1-cf59-97e239a640f8/mzaf_7936976809484971198.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/a2/5b/3e/a25b3e06-a923-2254-1f9e-c34549a9dd05/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/a2/5b/3e/a25b3e06-a923-2254-1f9e-c34549a9dd05/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/a2/5b/3e/a25b3e06-a923-2254-1f9e-c34549a9dd05/source/100x100bb.jpg,10.99,1.29,1999-11-08T12:00:00Z,notExplicit,notExplicit,1.0,1.0,17,1.0,275392.0,USA,USD,Rock,True,,,,,,,,,,,,,,
8,track,song,3296287.0,1422651924,1422653091,Queen,Greatest Hits II,The Show Must Go On,Greatest Hits II,The Show Must Go On,https://music.apple.com/us/artist/queen/3296287?uo=4,https://music.apple.com/us/album/the-show-must-go-on/1422651924?i=1422653091&uo=4,https://music.apple.com/us/album/the-show-must-go-on/1422651924?i=1422653091&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e6/c6/15/e6c615a9-d381-0df9-9330-15971711bce4/mzaf_301907106046851135.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/92/f5/45/92f5454e-654a-dfe5-7a55-cddae145559d/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/92/f5/45/92f5454e-654a-dfe5-7a55-cddae145559d/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/92/f5/45/92f5454e-654a-dfe5-7a55-cddae145559d/source/100x100bb.jpg,10.99,1.29,1991-02-04T12:00:00Z,notExplicit,notExplicit,1.0,1.0,17,16.0,263621.0,USA,USD,Rock,True,,,,,,,,,,,,,,
9,track,song,464982826.0,475769666,475769878,The Bohemian Champions,Queen Greatest Hits,The Show Must Go On,Queen Greatest Hits,The Show Must Go On,https://music.apple.com/us/artist/the-bohemian-champions/464982826?uo=4,https://music.apple.com/us/album/the-show-must-go-on/475769666?i=475769878&uo=4,https://music.apple.com/us/album/the-show-must-go-on/475769666?i=475769878&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/41/01/b1/4101b171-f918-8bf8-97ec-c6826ac334c1/mzaf_1686429028653182967.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/14/ad/47/14ad4714-8aa9-d366-70ff-f1a13c428981/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/14/ad/47/14ad4714-8aa9-d366-70ff-f1a13c428981/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/14/ad/47/14ad4714-8aa9-d366-70ff-f1a13c428981/source/100x100bb.jpg,9.99,0.99,2011-03-31T12:00:00Z,notExplicit,notExplicit,1.0,1.0,17,7.0,122040.0,USA,USD,Pop,True,,,,,,,,,,,,,,
